Equity Report for 'all included' from 2023.04.30 to 2023.04.30,,,,,,,,,,,
Login,Group,PL Balance,Closed PL,Deposit,Balance,Floating PL,Credit,Equity,Margin,Free Margin,Bank
140916049,CMV3EU,0,0,0,0,0,0,0,0,0,
140917367,CMV3EU,0,0,0,0,0,0,0,0,0,
140918823,CMV3EU,0,0,0,0,0,0,0,0,0,
140918947,CMV3EU,0,0,0,0,0,0,0,0,0,
140919593,CMV3EU,0,0,0,0,0,0,0,0,0,
140919793,CMV3EU,0,0,0,0,0,0,0,0,0,
140919823,CMV3EU,0,0,0,0,0,0,0,0,0,
140919969,CMV3EU,0,0,0,0,0,0,0,0,0,
140920349,CMV3EU,236.33,0,0,236.33,0,186.53,422.86,0,422.86,
140921184,CMV3EU,0,0,0,0,0,0,0,0,0,
140921186,CMV3EU,0,0,0,0,0,0,0,0,0,
140921618,CMV3EU,0,0,0,0,0,0,0,0,0,
140922340,CMV3EU,0,0,0,0,0,0,0,0,0,
140922673,CMV3EU,0,0,0,0,0,0,0,0,0,
140922841,CMV3EU,0,0,0,0,0,0,0,0,0,
140923115,CMV3EU,0,0,0,0,0,0,0,0,0,
140923391,CMV3EU,0,0,0,0,0,0,0,0,0,
140924051,CMV3EU,0,0,0,0,0,0,0,0,0,
140924329,CMV3EU,0,0,0,0,0,0,0,0,0,
140924463,CMV3EU,0,0,0,0,0,0,0,0,0,
140925503,CMV3EU,0,0,0,0,0,0,0,0,0,
140925727,CMV3EU,0,0,0,0,0,0,0,0,0,
140925795,CMV3EU,0,0,0,0,0,0,0,0,0,
140926233,CMV3EU,0,0,0,0,0,0,0,0,0,
140926465,CMV3EU,0,0,0,0,0,0,0,0,0,
140926835,CMV3EU,0,0,0,0,0,0,0,0,0,
140927045,CMV3EU,0,0,0,0,0,0,0,0,0,
140927371,CMV3EU,500,0,0,500,0,125,625,0,625,
140928279,CMV3EU,0,0,0,0,0,0,0,0,0,
140928305,CMV3EU,0,0,0,0,0,0,0,0,0,
140928585,CMV3EU,0,0,0,0,0,20,20,0,20,
140928681,CMV3EU,0,0,0,0,0,0,0,0,0,
140929401,CMV3EU,-1.27,0,0,-1.27,0,94.06,92.79,0,92.79,
140930345,CMV3EU,0,0,0,0,0,0,0,0,0,
140930351,CMV3EU,0,0,0,0,0,0,0,0,0,
140930449,CMV3EU,0.92,0,0,0.92,0,0,0.92,0,0.92,
140930527,CMV3EU,0,0,0,0,0,0,0,0,0,
140931259,CMV3EU,0,0,0,0,0,0,0,0,0,
140931695,CMV3EU,0,0,0,0,0,0,0,0,0,
140931819,CMV3EU,0,0,0,0,0,0,0,0,0,
140932315,CMV3EU,7.39,0,0,7.39,0,0,7.39,0,7.39,
140932443,CMV3EU,0,0,0,0,0,0,0,0,0,
140933543,CMV3EU,0,0,0,0,0,0,0,0,0,
140934089,CMV3EU,0,0,0,0,0,0,0,0,0,
140934103,CMV3EU,0,0,0,0,0,0,0,0,0,
140934143,CMV3EU,0,0,0,0,0,0,0,0,0,
140934591,CMV3EU,0,0,0,0,0,0,0,0,0,
140935128,CMV3EU,0,0,0,0,0,0,0,0,0,
140935494,CMV3EU,0,0,0,0,0,0,0,0,0,
140935522,CMV3EU,0,0,0,0,0,0,0,0,0,
140935792,CMV3EU,0,0,0,0,0,0,0,0,0,
140936460,CMV3EU,0,0,0,0,0,0,0,0,0,
140937152,CMV3EU,0,0,0,0,0,0,0,0,0,
140937164,CMV3EU,0,0,0,0,0,0,0,0,0,
140938252,CMV3EU,0,0,0,0,0,0,0,0,0,
140938842,CMV3EU,0,0,0,0,0,0,0,0,0,
140939678,CMV3EU,0,0,0,0,0,0,0,0,0,
140939722,CMV3EU,0,0,0,0,0,0,0,0,0,
140939902,CMV3EU,0,0,0,0,0,0,0,0,0,
140939924,CMV3EU,0,0,0,0,0,0,0,0,0,
140940109,CMV3EU,0,0,0,0,0,0,0,0,0,
140940357,CMV3EU,0,0,0,0,0,0,0,0,0,
140940391,CMV3EU,0,0,0,0,0,0,0,0,0,
140940447,CMV3EU,0,0,0,0,0,0,0,0,0,
140940689,CMV3EU,0,0,0,0,0,0,0,0,0,
140940848,CMV3EU,0,0,0,0,0,0,0,0,0,
140941043,CMV3EU,0,0,0,0,0,0,0,0,0,
140941051,CMV3EU,0,0,0,0,0,0,0,0,0,
140941981,CMV3EU,0,0,0,0,0,0,0,0,0,
140942041,CMV3EU,0,0,0,0,0,0,0,0,0,
140942605,CMV3EU,0,0,0,0,0,0,0,0,0,
140942629,CMV3EU,0,0,0,0,0,0,0,0,0,
140942709,CMV3EU,0,0,0,0,0,0,0,0,0,
140942963,CMV3EU,0,0,0,0,0,0,0,0,0,
140943267,CMV3EU,0,0,0,0,0,0,0,0,0,
140943327,CMV3EU,0,0,0,0,0,0,0,0,0,
140944043,CMV3EU,0,0,0,0,0,0,0,0,0,
140944083,CMV3EU,295.23,0,0,295.23,-39.08,232.15,488.3,90.2,398.1,
140944459,CMV3EU,0,0,0,0,0,0,0,0,0,
140944733,CMV3EU,0,0,0,0,0,0,0,0,0,
140944749,CMV3EU,0,0,0,0,0,0,0,0,0,
140945739,CMV3EU,0,0,0,0,0,0,0,0,0,
140946153,CMV3EU,0,0,0,0,0,0,0,0,0,
140946697,CMV3EU,0,0,0,0,0,0,0,0,0,
140946735,CMV3EU,0,0,0,0,0,0,0,0,0,
140947275,CMV3EU,0,0,0,0,0,0,0,0,0,
140947337,CMV3EU,0,0,0,0,0,0,0,0,0,
140947355,CMV3EU,0,0,0,0,0,0,0,0,0,
140947445,CMV3EU,0,0,0,0,0,0,0,0,0,
140948029,CMV3EU,0,0,0,0,0,0,0,0,0,
140948455,CMV3EU,150,0,0,150,0,0,150,0,150,
140948631,CMV3EU,0,0,0,0,0,0,0,0,0,
140949139,CMV3EU,0,0,0,0,0,0,0,0,0,
140949381,CMV3EU,0,0,0,0,0,0,0,0,0,
140951075,CMV3EU,0,0,0,0,0,0,0,0,0,
140951163,CMV3EU,0,0,0,0,0,0,0,0,0,
140951727,CMV3EU,0,0,0,0,0,0,0,0,0,
140953747,CMV3EU,0,0,0,0,0,0,0,0,0,
140954179,CMV3EU,0,0,0,0,0,0,0,0,0,
140954690,CMV3EU,0,0,0,0,0,0,0,0,0,
140954960,CMV3EU,0,0,0,0,0,0,0,0,0,
140956262,CMV3EU,0,0,0,0,0,0,0,0,0,
140956478,CMV3EU,0,0,0,0,0,0,0,0,0,
140956656,CMV3EU,0,0,0,0,0,0,0,0,0,
140956718,CMV3EU,0,0,0,0,0,0,0,0,0,
140956926,CMV3EU,0,0,0,0,0,0,0,0,0,
140958626,CMV3EU,0,0,0,0,0,0,0,0,0,
140959054,CMV3EU,5.59,0,0,5.59,0,0,5.59,0,5.59,
140959150,CMV3EU,0,0,0,0,0,0,0,0,0,
140959188,CMV3EU,0,0,0,0,0,0,0,0,0,
140959322,CMV3EU,0,0,0,0,0,0,0,0,0,
140959668,CMV3EU,0,0,0,0,0,0,0,0,0,
140960092,CMV3EU,0,0,0,0,0,0,0,0,0,
140960780,CMV3EU,0,0,0,0,0,0,0,0,0,
140961116,CMV3EU,0,0,0,0,0,0,0,0,0,
140961526,CMV3EU,0,0,0,0,0,0,0,0,0,
140961834,CMV3EU,0,0,0,0,0,0,0,0,0,
140962792,CMV3EU,0,0,0,0,0,0,0,0,0,
140962794,CMV3EU,0,0,0,0,0,0,0,0,0,
140962796,CMV3EU,0,0,0,0,0,0,0,0,0,
140962798,CMV3EU,0,0,0,0,0,0,0,0,0,
140963978,CMV3EU,0,0,0,0,0,0,0,0,0,
140965412,CMV3EU,0,0,0,0,0,0,0,0,0,
140965836,CMV3EU,0,0,0,0,0,0,0,0,0,
140967050,CMV3EU,0,0,0,0,0,0,0,0,0,
140967170,CMV3EU,457.85,0,0,457.85,0,182.39,640.24,0,640.24,
140967452,CMV3EU,25,0,0,25,0,0,25,0,25,
140967642,CMV3EU,0,0,0,0,0,0,0,0,0,
140967876,CMV3EU,0,0,0,0,0,0,0,0,0,
140969857,CMV3EU,0,0,0,0,0,0,0,0,0,
140970057,CMV3EU,0,0,0,0,0,0,0,0,0,
140970427,CMV3EU,0,0,0,0,0,0,0,0,0,
140970635,CMV3EU,0,0,0,0,0,0,0,0,0,
140970921,CMV3EU,0,0,0,0,0,0,0,0,0,
140971011,CMV3EU,0,0,0,0,0,0,0,0,0,
140972037,CMV3EU,0,0,0,0,0,0,0,0,0,
140972039,CMV3EU,0,0,0,0,0,0,0,0,0,
140972053,CMV3EU,0,0,0,0,0,0,0,0,0,
140972069,CMV3EU,0,0,0,0,0,0,0,0,0,
140972121,CMV3EU,0,0,0,0,0,0,0,0,0,
140972851,CMV3EU,0,0,0,0,0,0,0,0,0,
140972861,CMV3EU,0,0,0,0,0,0,0,0,0,
140973127,CMV3EU,0,0,500,500,0,181.54,681.54,0,681.54,
140103035,CMV3EUIS,0,0,0,0,0,0,0,0,0,
140900940,CMV3EUIS,0,0,0,0,0,0,0,0,0,
2004,CMV3US,54738.07,0,0,54738.07,0,0,54738.07,0,54738.07,
2009,CMV3US,353382.3,0,0,353382.3,351.49,0,353733.79,1064.59,352669.2,
2012,CMV3US,54076.1,0,0,54076.1,360.16,0,54436.26,849.19,53587.07,
2014,CMV3US,59117.35,0,0,59117.35,5.26,0,59122.61,106.49,59016.12,
3001,CMV3US,0,0,0,0,0,0,0,0,0,
3002,CMV3US,118834.61,0,0,118834.61,0,0,118834.61,0,118834.61,
1017050,CMV3US,16.01,0,0,16.01,0,0,16.01,0,16.01,
1060835,CMV3US,12977.79,0,0,12977.79,0,0,12977.79,0,12977.79,
5129640,CMV3US,115.01,0,0,115.01,-52.53,0,62.48,0,62.48,
5152122,CMV3US,0,0,0,0,0,0,0,0,0,
5152711,CMV3US,1505.98,0,0,1505.98,0,0,1505.98,0,1505.98,
5156848,CMV3US,509.06,0,0,509.06,0,0,509.06,0,509.06,
5158027,CMV3US,103.99,0,0,103.99,0,0,103.99,0,103.99,
5158229,CMV3US,353.29,0,0,353.29,0,0,353.29,0,353.29,
5162775,CMV3US,2645.35,0,0,2645.35,0,0,2645.35,0,2645.35,
5163937,CMV3US,200.99,0,0,200.99,0,0,200.99,0,200.99,
130002607,CMV3US,262.2,0,0,262.2,0,0,262.2,0,262.2,
130004367,CMV3US,1123.57,0,0,1123.57,0,0,1123.57,0,1123.57,
130007392,CMV3US,385.94,0,0,385.94,0,0,385.94,0,385.94,
130009747,CMV3US,221.71,0,0,221.71,0,0,221.71,0,221.71,
130013260,CMV3US,0,0,0,0,0,0,0,0,0,
130015289,CMV3US,357.59,0,0,357.59,0,0,357.59,0,357.59,
130019078,CMV3US,0,0,0,0,0,0,0,0,0,
130019335,CMV3US,361.74,0,0,361.74,0,0,361.74,0,361.74,
130036936,CMV3US,0,0,0,0,0,0,0,0,0,
130040342,CMV3US,28.48,0,0,28.48,0,0,28.48,0,28.48,
130041769,CMV3US,1518.54,0,0,1518.54,-635.02,0,883.52,17.11,866.41,
130046727,CMV3US,104984.6,0,0,104984.6,-48674.33,0,56310.27,6329.47,49980.8,
130047623,CMV3US,6948.48,0,0,6948.48,0,0,6948.48,0,6948.48,
130047712,CMV3US,30.31,0,0,30.31,0,0,30.31,0,30.31,
130048339,CMV3US,48.5,0,0,48.5,0,0,48.5,0,48.5,
130048805,CMV3US,480,0,0,480,0,0,480,0,480,
130049351,CMV3US,632.43,0,0,632.43,-109.49,0,522.94,8.94,514,
130050249,CMV3US,0,0,0,0,0,0,0,0,0,
130050624,CMV3US,75.68,0,0,75.68,15.99,0,91.67,5.4,86.27,
130055804,CMV3US,2144.32,0,0,2144.32,-1226.33,0,917.99,199.94,718.05,
130057109,CMV3US,899.09,0,0,899.09,0,0,899.09,0,899.09,
130058977,CMV3US,0,0,0,0,0,0,0,0,0,
130064813,CMV3US,1387.55,0,0,1387.55,114.99,0,1502.54,53.5,1449.04,
130067526,CMV3US,15.34,0,0,15.34,0,0,15.34,0,15.34,
130067630,CMV3US,0,0,0,0,0,0,0,0,0,
130068546,CMV3US,0,0,0,0,0,0,0,0,0,
130068845,CMV3US,0,0,0,0,0,0,0,0,0,
130069321,CMV3US,0,0,0,0,0,0,0,0,0,
130072215,CMV3US,181.85,0,0,181.85,0,0,181.85,0,181.85,
130074512,CMV3US,76.51,0,0,76.51,0,0,76.51,0,76.51,
130076200,CMV3US,0,0,0,0,0,0,0,0,0,
130079669,CMV3US,155.2,0,0,155.2,0,0,155.2,0,155.2,
130087428,CMV3US,163.44,0,0,163.44,0,0,163.44,0,163.44,
130090768,CMV3US,0,0,0,0,0,0,0,0,0,
130095015,CMV3US,0,0,0,0,0,0,0,0,0,
130095626,CMV3US,517627.05,0,0,517627.05,-142441.84,28250,403435.21,6885.28,396549.93,
130095918,CMV3US,0,0,0,0,0,0,0,0,0,
130096458,CMV3US,0,0,0,0,0,0,0,0,0,
130098037,CMV3US,165.21,0,0,165.21,0,0,165.21,0,165.21,
130100260,CMV3US,0,0,0,0,0,0,0,0,0,
130103519,CMV3US,192.08,0,0,192.08,0,0,192.08,0,192.08,
130103536,CMV3US,873.3,0,0,873.3,0,0,873.3,0,873.3,
130104998,CMV3US,0,0,0,0,0,0,0,0,0,
130106872,CMV3US,0,0,0,0,0,0,0,0,0,
130107136,CMV3US,0,0,0,0,0,0,0,0,0,
130111660,CMV3US,10.94,0,0,10.94,0,0,10.94,0,10.94,
130112683,CMV3US,0,0,0,0,0,0,0,0,0,
130112693,CMV3US,1.97,0,0,1.97,0,0,1.97,0,1.97,
130113563,CMV3US,0,0,0,0,0,0,0,0,0,
130114145,CMV3US,0,0,0,0,0,0,0,0,0,
130115072,CMV3US,0,0,0,0,0,0,0,0,0,
140000452,CMV3US,0,0,0,0,0,0,0,0,0,
140002865,CMV3US,0,0,0,0,0,0,0,0,0,
140003848,CMV3US,0,0,0,0,0,0,0,0,0,
140004663,CMV3US,0,0,0,0,0,0,0,0,0,
140006145,CMV3US,1949.45,0,0,1949.45,7.96,0,1957.41,8.29,1949.12,
140006663,CMV3US,0,0,0,0,0,0,0,0,0,
140007005,CMV3US,87.7,0,0,87.7,-20.22,0,67.48,12.47,55.01,
140007233,CMV3US,0,0,0,0,0,0,0,0,0,
140007504,CMV3US,0,0,0,0,0,0,0,0,0,
140007537,CMV3US,102.14,0,0,102.14,0,0,102.14,0,102.14,
140010119,CMV3US,81,0,0,81,0,0,81,0,81,
140015423,CMV3US,624.17,0,0,624.17,0,0,624.17,0,624.17,
140016023,CMV3US,0,0,0,0,0,0,0,0,0,
140016830,CMV3US,0,0,0,0,0,0,0,0,0,
140017972,CMV3US,0,0,0,0,0,0,0,0,0,
140019538,CMV3US,1165.6,0,0,1165.6,0,0,1165.6,0,1165.6,
140019650,CMV3US,556.68,0,0,556.68,0,0,556.68,0,556.68,
140022058,CMV3US,267.27,0,0,267.27,0,0,267.27,0,267.27,
140025910,CMV3US,3.05,0,0,3.05,0,0,3.05,0,3.05,
140028681,CMV3US,0,0,0,0,0,0,0,0,0,
140030794,CMV3US,67.7,0,0,67.7,0,0,67.7,0,67.7,
140032092,CMV3US,650.93,0,0,650.93,-305.4,0,345.53,27.94,317.59,
140033020,CMV3US,0,0,0,0,0,0,0,0,0,
140034396,CMV3US,0,0,0,0,0,0,0,0,0,
140034993,CMV3US,135.45,0,0,135.45,0,0,135.45,0,135.45,
140035089,CMV3US,581.8,0,0,581.8,0,0,581.8,0,581.8,
140036048,CMV3US,0,0,0,0,0,0,0,0,0,
140036795,CMV3US,230,0,0,230,0,0,230,0,230,
140037532,CMV3US,166.81,0,0,166.81,0,0,166.81,0,166.81,
140038837,CMV3US,480,0,0,480,0,0,480,0,480,
140040401,CMV3US,0,0,0,0,0,0,0,0,0,
140042593,CMV3US,6671.52,0,0,6671.52,0,0,6671.52,0,6671.52,
140043957,CMV3US,147.52,0,0,147.52,-2.48,25,170.04,0,170.04,
140045024,CMV3US,182.01,0,0,182.01,17.25,0,199.26,157.19,42.07,
140045629,CMV3US,0,0,0,0,0,0,0,0,0,
140050780,CMV3US,11405.26,0,0,11405.26,256.77,0,11662.03,699.44,10962.59,
140051078,CMV3US,0,0,0,0,0,0,0,0,0,
140053337,CMV3US,0,0,0,0,0,0,0,0,0,
140053659,CMV3US,16.28,0,0,16.28,0,0,16.28,0,16.28,
140056102,CMV3US,923.29,0,0,923.29,-570.1,0,353.19,10.82,342.37,
140056229,CMV3US,337.41,0,0,337.41,0,0,337.41,0,337.41,
140058314,CMV3US,0,0,0,0,0,0,0,0,0,
